"gene","logFC","AveExpr","t","pvalue","padj"
"ZKSCAN5",-0.367,9.2803,-2.5128,0.01198,0.04726
"FAM200A",-0.1959,8.6429,-0.9692,0.3324,0.5074
"ZNF655",-0.2131,11.0776,-0.9702,0.3319,0.5071
"GS1-259H13.13",0.3057,7.9407,1.1342,0.2567,0.4277
"GS1-259H13.2",0.1943,6.5301,0.522,0.6017,0.7418
"ZSCAN25",-0.4636,9.424,-2.9566,0.003111,0.01718
"CYP3A5",1.8703,8.0192,3.0413,0.002356,0.01393
"CYP3A7-CYP3A51P",1.0499,6.4902,2.1915,0.02842,0.09038
"CYP3A7",1.0491,6.5993,2.19,0.02853,0.09063
"TRIM4",-0.0138,10.3205,-0.0808,0.9356,0.9643
"AZGP1",2.9439,8.7267,4.382,1.176e-05,0.0002028
"ZKSCAN1",-0.4948,11.2842,-2.2957,0.02169,0.07404
"ZSCAN21",-0.4287,8.6731,-2.9782,0.0029,0.01633
"ZNF3",-0.2103,10.2989,-1.3963,0.1626,0.3147
"COPS6",-0.0847,11.3662,-0.6599,0.5093,0.6689
"MCM7",-0.7272,11.7564,-3.3045,0.0009513,0.006956
"AP4M1",-0.1668,10.6948,-1.461,0.144,0.2885
